status,shortlong,forceIndex,trend2min,trend5min,trend10min,trend15min,buildDate
GAIN,VENDIDO,295,-210,-330,-315,-300,1565185740000
GAIN,COMPRADO,135,55,70,170,-130,1565186040000
GAIN,COMPRADO,105,140,110,60,175,1565186640000
GAIN,COMPRADO,90,20,60,40,230,1565186940000
GAIN,COMPRADO,100,-35,-65,115,150,1565187240000
GAIN,COMPRADO,85,-10,20,55,15,1565187840000
GAIN,VENDIDO,115,-30,-90,30,-120,1565188140000
GAIN,COMPRADO,190,-45,185,110,155,1565188440000
LOSS,COMPRADO,110,55,155,125,245,1565188740000
LOSS,COMPRADO,225,60,20,365,280,1565189640000
GAIN,VENDIDO,150,-55,-95,-105,-95,1565189940000
LOSS,VENDIDO,80,5,10,55,20,1565190240000
GAIN,COMPRADO,135,70,55,170,270,1565190840000
GAIN,COMPRADO,85,75,110,80,70,1565192040000
GAIN,COMPRADO,90,40,95,-50,90,1565193540000
GAIN,VENDIDO,160,-60,-95,-175,-215,1565195040000
LOSS,COMPRADO,105,15,40,105,85,1565195340000
LOSS,VENDIDO,100,-20,-15,-80,-55,1565197440000
LOSS,COMPRADO,215,130,145,175,225,1565197740000
GAIN,VENDIDO,85,15,-40,-20,-80,1565198040000
GAIN,COMPRADO,100,40,-10,75,90,1565198940000
GAIN,COMPRADO,170,-30,75,115,200,1565199540000
GAIN,COMPRADO,100,-5,100,90,260,1565199840000
GAIN,COMPRADO,175,-10,-65,110,200,1565200140000
LOSS,VENDIDO,180,-20,-35,-65,-155,1565200740000
GAIN,COMPRADO,130,50,60,105,55,1565201340000
GAIN,VENDIDO,120,-50,-105,-115,-95,1565201640000
GAIN,VENDIDO,85,-90,-105,-125,-205,1565201940000
GAIN,COMPRADO,140,20,25,25,150,1565202540000
LOSS,COMPRADO,220,90,160,170,200,1565203440000
GAIN,VENDIDO,105,-65,-15,-70,-105,1565205240000
GAIN,COMPRADO,100,30,75,115,110,1565205540000
LOSS,COMPRADO,85,90,35,150,85,1565206440000
GAIN,COMPRADO,120,165,130,130,165,1565206740000
GAIN,COMPRADO,90,50,70,175,245,1565207040000
GAIN,COMPRADO,140,40,165,200,160,1565207340000
GAIN,COMPRADO,160,-125,35,175,215,1565207940000
LOSS,VENDIDO,115,-100,-55,-130,-120,1565211240000
GAIN,COMPRADO,160,-60,-100,140,0,1565265840000
GAIN,COMPRADO,135,-25,35,130,120,1565266440000
LOSS,VENDIDO,155,0,-35,-45,-145,1565267040000
GAIN,COMPRADO,90,45,25,10,85,1565267340000
GAIN,COMPRADO,255,115,130,330,310,1565267640000
GAIN,VENDIDO,190,-100,-70,-230,-180,1565268840000
LOSS,COMPRADO,185,80,205,135,130,1565269140000
GAIN,VENDIDO,125,-140,-85,-160,-220,1565269740000
LOSS,COMPRADO,200,60,125,190,105,1565270040000
GAIN,COMPRADO,175,-60,150,140,115,1565271240000
GAIN,VENDIDO,230,-275,-235,-290,-265,1565272140000
GAIN,COMPRADO,310,255,65,110,55,1565272440000
GAIN,COMPRADO,135,0,-85,635,185,1565272740000
GAIN,COMPRADO,85,65,120,160,85,1565274840000
GAIN,VENDIDO,130,50,-80,-95,-160,1565275440000
GAIN,VENDIDO,105,45,-90,-110,-190,1565275740000
GAIN,VENDIDO,100,-50,-140,-110,-175,1565276340000
GAIN,VENDIDO,165,-105,-145,0,-200,1565276940000
GAIN,COMPRADO,80,30,90,95,132,1565277840000
GAIN,VENDIDO,95,-60,-165,-150,-50,1565278140000
GAIN,VENDIDO,80,10,55,-145,-125,1565279340000
GAIN,COMPRADO,115,-20,40,120,150,1565279940000
GAIN,COMPRADO,150,100,190,85,60,1565280540000
GAIN,COMPRADO,165,-65,-55,160,205,1565281140000
GAIN,COMPRADO,150,-25,-25,135,80,1565281440000
LOSS,VENDIDO,115,-20,-35,-110,-135,1565285640000
GAIN,COMPRADO,85,10,50,80,50,1565286540000
GAIN,VENDIDO,300,-210,-330,-285,-295,1565287440000
LOSS,VENDIDO,90,-20,-80,-65,-50,1565288940000
GAIN,COMPRADO,90,-15,-25,120,100,1565289840000
GAIN,VENDIDO,205,-165,-130,-240,-150,1565290140000
GAIN,COMPRADO,175,120,95,135,165,1565291040000
LOSS,COMPRADO,90,40,75,75,175,1565291340000
GAIN,VENDIDO,135,-30,-50,-55,-105,1565291640000
GAIN,COMPRADO,80,15,50,90,45,1565291940000
GAIN,COMPRADO,150,45,85,145,140,1565292240000
GAIN,COMPRADO,80,-15,25,105,130,1565293440000
GAIN,COMPRADO,100,60,-5,125,40,1565294340000
GAIN,COMPRADO,155,10,35,35,40,1565353140000
GAIN,COMPRADO,130,-25,0,150,95,1565354280000
GAIN,VENDIDO,85,-95,-120,-115,-115,1565356140000
LOSS,COMPRADO,95,130,195,20,25,1565356440000
GAIN,COMPRADO,290,65,70,290,320,1565357040000
GAIN,COMPRADO,300,-15,275,330,390,1565357640000
LOSS,COMPRADO,145,65,200,455,505,1565357940000
LOSS,VENDIDO,90,-75,-85,-90,-97,1565359140000
LOSS,COMPRADO,100,45,30,65,25,1565359440000
GAIN,VENDIDO,185,-40,-160,-175,-105,1565359740000
LOSS,VENDIDO,245,-150,-75,-100,-185,1565360340000
GAIN,VENDIDO,155,-55,-50,-155,-340,1565360640000
LOSS,VENDIDO,310,-250,-360,-330,-375,1565361240000
GAIN,COMPRADO,150,-5,-25,0,-180,1565361540000
GAIN,COMPRADO,150,-80,125,165,220,1565362440000
GAIN,VENDIDO,180,-65,-75,-130,-235,1565363340000
LOSS,VENDIDO,170,-175,-165,-120,-110,1565363940000
GAIN,VENDIDO,110,-75,-115,-75,-90,1565364540000
GAIN,COMPRADO,130,30,65,160,20,1565364840000
GAIN,COMPRADO,170,50,110,180,125,1565365740000
GAIN,VENDIDO,125,-30,-65,-90,-120,1565366040000
LOSS,COMPRADO,130,135,170,75,120,1565366940000
GAIN,VENDIDO,90,-5,-35,-40,-50,1565367240000
LOSS,VENDIDO,145,-80,-90,-165,-195,1565367540000
GAIN,COMPRADO,255,295,285,260,253,1565369640000
GAIN,VENDIDO,80,5,25,40,-105,1565370540000
GAIN,COMPRADO,130,45,55,145,130,1565370840000
GAIN,COMPRADO,110,45,-5,135,140,1565371740000
GAIN,VENDIDO,90,0,-70,-110,-95,1565372340000
GAIN,VENDIDO,160,10,-125,-155,-270,1565373540000
LOSS,VENDIDO,110,-20,-80,-120,-65,1565375940000
